City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,namibe,-15.1961,12.1522,298.74,71,56,1.73,AO,1713752483
315,villa regina,-39.1,-67.0667,284.55,51,100,7.19,AR,1713752483
316,tual,-5.6667,132.75,302.43,70,96,2.6,ID,1713752483
317,singkil,-7.9855,111.4161,299.34,87,100,1.59,ID,1713752483
318,andergrove,-21.0833,149.1833,296.9,77,84,10.16,AU,1713752484
319,chu,43.5983,73.7614,288.0,55,7,1.01,KZ,1713752484
320,richards bay,-28.783,32.0377,293.78,95,50,2.98,ZA,1713752484
321,olavarria,-36.8927,-60.3225,284.5,60,100,5.42,AR,1713752484
322,careiro da varzea,-3.2003,-59.8119,298.49,95,100,0.81,BR,1713752484
323,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,40,0,4.0,RU,1713752485
324,champerico,14.3,-91.9167,302.13,72,9,1.25,GT,1713752485
325,st. john's,47.5649,-52.7093,277.12,96,40,4.63,CA,1713752311
326,san juan del sur,11.2529,-85.8705,299.07,86,6,2.76,NI,1713752485
327,juarez,31.7333,-106.4833,292.95,41,75,6.69,MX,1713752485
328,santa cruz,-17.8,-63.1667,298.85,89,20,3.6,BO,1713752097
329,al fulah,11.7329,28.3579,300.14,47,67,0.99,SD,1713752486
330,taltal,-25.4,-70.4833,292.23,81,0,2.6,CL,1713752486
331,kruisfontein,-34.0033,24.7314,291.97,87,100,3.09,ZA,1713752486
332,saint-philippe,-21.3585,55.7679,295.43,82,2,2.49,RE,1713752486
333,notodden,59.5594,9.2585,271.77,69,85,1.02,NO,1713752486
334,canada de gomez,-32.8164,-61.3949,293.74,98,100,4.11,AR,1713752315
335,kapa'a,22.0752,-159.319,300.14,74,40,8.75,US,1713752487
336,ozd,48.2167,20.3,280.75,77,100,0.88,HU,1713752487
337,pocone,-16.2567,-56.6228,300.63,72,100,1.88,BR,1713752487
338,warren,39.4334,-84.1666,280.2,76,0,0.89,US,1713752487
339,banjar,-8.19,114.9675,301.9,78,100,1.13,ID,1713752488
340,uren',57.4552,45.7852,282.59,76,53,4.66,RU,1713752489
341,bambari,5.768,20.6757,297.08,83,100,2.15,CF,1713752490
342,nuku'alofa,-21.1333,-175.2,299.43,75,99,4.48,TO,1713752490
343,qianzhou,28.3167,109.7167,292.51,80,100,0.86,CN,1713752491
344,fort mcmurray,56.7268,-111.381,288.92,20,0,2.57,CA,1713752491
345,beihai,21.4833,109.1,298.39,90,89,2.63,CN,1713752492
346,ad darb,17.7229,42.2526,302.49,72,81,2.18,SA,1713752495
347,mount isa,-20.7333,139.5,299.02,36,8,7.72,AU,1713752495
348,nishon tumani,38.694,65.6751,290.29,63,0,4.12,UZ,1713752495
349,kitami,43.8031,143.8908,276.85,94,100,4.17,JP,1713752495
350,changling,44.2653,124.0005,292.2,38,0,10.37,CN,1713752495
351,gillette,44.2911,-105.5022,287.56,33,0,5.66,US,1713752496
352,santa ines,-3.6667,-45.38,297.41,97,87,1.43,BR,1713752496
353,nouadhibou,20.931,-17.0347,292.14,77,25,7.72,MR,1713752496
354,taoudenni,22.6783,-3.9836,299.57,12,0,4.4,ML,1713752498
355,klaksvik,62.2266,-6.589,279.66,81,100,6.91,FO,1713752498
356,oyem,1.5995,11.5793,294.28,98,93,1.22,GA,1713752499
357,nyazepetrovsk,56.0531,59.6028,284.26,64,100,4.21,RU,1713752500
358,krasnoural'sk,58.3638,60.0407,280.19,73,97,0.93,RU,1713752501
